CensusTract,POP2010,TractSNAP,Assigned_Supermarkets
6025010101,4601,17,9.0
6025010102,5007,458,1.0
6025010200,2640,170,6.0
6025010300,933,26,1.0
6025010400,7162,840,1.0
6025010500,6593,254,1.0
6025010600,6998,92,2.0
6025010700,4322,356,6.0
6025010800,1368,27,5.0
6025010900,6755,368,3.0
6025011000,12047,230,0.0
6025011100,3685,102,1.0
6025011201,6043,162,2.0
6025011202,5444,442,12.0
6025011300,10460,373,2.0
6025011400,4580,495,10.0
6025011500,6232,520,2.0
6025011600,6310,438,1.0
6025011700,4797,122,9.0
6025011801,3821,63,2.0
6025011802,4870,312,2.0
6025011803,5937,66,0.0
6025011900,10966,334,2.0
6025012001,3831,379,7.0
6025012002,9678,294,0.0
6025012100,6937,623,2.0
6025012200,7804,485,3.0
6025012301,5633,77,6.0
6025012302,4756,291,1.0
6025012400,1266,25,1.0
6025940000,3052,111,0.0
